id_cliente,edad,ingreso_mensual,nivel_educativo,ciudad,fecha_vinculacion,saldo_actual,cuotas_pagadas,cuotas_totales,estado_cuenta,score_externo
CLI-100020,63,0,Universitario,"Pereira, Risaralda",2021-08-12,5457025,10,48,Al día,566
CLI-100021,37,1184872,Secundaria,IBAGUÉ,2023-03-11,4549065,23,36,Al día,379
CLI-100022,45,2460803,Tecnólogo,Cali,2025-04-06,2484509,6,12,Al día,763
CLI-100023,32,4636178,Tecnólogo,IBAGUÉ,2016-02-20,0,18,18,Cancelado,762
CLI-100024,45,4046315,Universitario,"Santa Marta, Magdalena",2021-10-12,937241,4,12,Al día,388
CLI-100025,78,0,Universitario,VILLAVICENCIO,2022-06-23,9802863,22,48,Al día,300
CLI-100026,2,2423684,Técnico,BGA,2016-01-31,982378,9,12,Al día,516
CLI-100027,61,5027725,Universitario,"Manizales, Caldas",2022-02-19,0,6,6,Cancelado,631
CLI-100028,30,1009788,Secundaria,"Manizales, Caldas",2022-01-29,4043540,0,18,Moroso,
CLI-100029,71,0,Universitario,cali,2019-11-23,1232370,31,36,Al día,538
CLI-100030,33,2112147,Técnico,Ibagué,2019-05-14,0,12,12,Cancelado,766
CLI-100031,49,6996035,Universitario,BOG,2016-08-17,4555782,9,48,Al día,674
CLI-100032,35,0,Universitario,cali,2022-07-01,1750064,6,24,Al día,308
CLI-100033,29,0,Secundaria,santa marta,2019-06-30,3050607,26,48,Al día,849
CLI-100034,63,0,Técnico,"Cali, Valle",2020-12-11,1786487,1,6,Al día,533
CLI-100035,64,2332250,Tecnólogo,bucaramanga,2025-06-04,5208301,0,12,Moroso,
CLI-100036,43,2062554,Secundaria,CALI,2021-10-29,1167415,3,6,Al día,429
CLI-100037,48,8044891,Posgrado,"Villavicencio, Meta",2024-09-19,0,6,6,Cancelado,548
CLI-100038,77,2864345,Secundaria,Cartagena,2023-03-10,0,12,12,Cancelado,756
CLI-100039,70,3547870,Tecnólogo,MANIZALES,2020-05-20,12013841,10,48,Al día,750
CLI-100040,70,2090493,Secundaria,CÚCUTA,2019-06-23,1492513,11,18,Al día,646
CLI-100041,36,1303591,Técnico,VILLAVICENCIO,2023-05-17,1096023,20,24,Al día,421
CLI-100042,28,0,Tecnólogo,Cucuta,2018-12-18,1362247,4,18,Al día,597
CLI-100043,56,0,Secundaria,BAQ,2023-08-18,1792308,8,12,Al día,844
CLI-100044,24,1171736,Secundaria,cucuta,2018-05-15,4227269,26,36,Al día,782
CLI-100045,68,1947869,Secundaria,MZL,2021-10-24,10408735,7,36,Al día,720
CLI-100046,54,3415463,Técnico,"Barranquilla, Atlántico",2017-10-27,558602,3,6,Al día,632
CLI-100047,20,1040370,Técnico,Villavicencio,2018-05-13,3628437,9,48,Al día,743
CLI-100048,0,2399016,Técnico,cartagena,2015-09-07,1268413,19,24,Al día,792
CLI-100049,75,3165651,Tecnólogo,santa marta,2023-05-13,6267693,5,36,Al día,727
CLI-100050,36,0,Técnico,San José de Cúcuta,2023-12-30,5752919,33,48,Al día,677
CLI-100051,44,2336264,Secundaria,Medellín,2022-08-23,7840887,12,36,Moroso,
CLI-100052,35,6383910,Posgrado,"Manizales, Caldas",2019-11-05,1690547,40,48,Al día,738
CLI-100053,57,1296299,Secundaria,Bucaramanga,2024-05-24,2449824,12,18,Al día,457
CLI-100054,0,3090997,Técnico,pereira,2023-06-19,1037696,6,12,Al día,730
CLI-100055,3,0,Universitario,Santiago de Cali,2024-07-16,836176,8,12,Al día,568
CLI-100056,57,900000,Tecnólogo,Medellín,2025-06-30,3256198,2,12,Moroso,309
CLI-100057,34,6592671,Posgrado,cali,2024-09-12,610015,2,6,Al día,500
CLI-100058,36,2222348,Universitario,Santiago de Cali,2023-12-03,18726343,7,36,Moroso,
CLI-100059,44,2195640,Técnico,Cartagena de Indias,2022-04-22,1756842,5,24,Al día,349
CLI-100060,77,954600,Secundaria,CAL,2018-12-02,1431918,19,36,Al día,659
CLI-100061,21,2148879,Técnico,cucuta,2020-07-05,1096634,12,24,Al día,600
CLI-100062,67,4529644,Universitario,PEREIRA,2016-02-07,0,12,12,Cancelado,839
CLI-100063,46,960356,Secundaria,CTG,2015-04-21,1051882,9,12,Al día,674
CLI-100064,71,0,Posgrado,VILLAVICENCIO,2023-12-04,2410232,12,18,Al día,456
CLI-100065,70,4031501,Técnico,"Bucaramanga, Santander",2020-03-12,3977739,8,18,Al día,404
CLI-100066,61,10988117,Posgrado,bogota,2016-02-29,3826848,3,18,Al día,452
CLI-100067,71,0,Secundaria,VILLAVICENCIO,2025-02-15,7493867,18,36,Al día,682
CLI-100068,65,0,Técnico,Ibague,2021-06-06,6060492,17,48,Al día,345
CLI-100069,78,915475,Primaria,Cucuta,2015-11-05,4092928,24,48,Al día,492
CLI-100070,41,2771991,Técnico,"Cali, Valle",2019-04-21,1240273,3,6,Al día,633
CLI-100071,31,926119,Tecnólogo,CARTAGENA,2019-07-06,9049102,1,36,Moroso,
CLI-100072,18,0,Universitario,MANIZALES,2024-08-08,1847603,18,24,Al día,483
CLI-100073,63,0,Universitario,MANIZALES,2017-12-10,5296462,5,18,Al día,467
CLI-100074,28,1495719,Secundaria,CTG,2022-03-27,0,12,12,Cancelado,832
CLI-100075,26,0,Secundaria,CTG,2022-04-06,5719057,11,24,Al día,
CLI-100076,33,5147227,Universitario,barranquilla,2024-03-03,0,24,24,Cancelado,798
CLI-100077,79,1778912,Secundaria,PEI,2015-11-14,1758093,24,36,Al día,386
CLI-100078,43,7949422,Posgrado,santa marta,2024-06-04,0,18,18,Cancelado,705
CLI-100079,44,1775263,Técnico,Ibague,2018-03-14,5010824,6,18,Al día,586
CLI-100080,59,2412113,Secundaria,Bucaramanga,2015-12-24,944556,3,6,Al día,787
CLI-100081,78,3048198,Tecnólogo,cucuta,2017-09-08,454177,2,6,Al día,620
CLI-100082,37,1907567,Secundaria,BGA,2018-05-31,5596144,9,24,Al día,
CLI-100083,48,2360454,Tecnólogo,Bucaramanga,2021-08-17,1965992,4,12,Al día,317
CLI-100084,62,0,Tecnólogo,MZL,2020-12-18,11934230,12,48,Al día,418
CLI-100085,44,0,Técnico,BOG,2016-07-15,2922601,22,36,Al día,717
CLI-100086,47,7061531,Posgrado,Santa Marta,2015-03-12,0,48,48,Cancelado,787
CLI-100087,54,10469285,Posgrado,Ibague,2019-07-31,0,12,12,Cancelado,702
CLI-100088,79,4520179,Universitario,Bta,2019-11-30,7883246,6,24,Moroso,
CLI-100089,47,5936155,Universitario,PEI,2015-11-04,1072927,21,24,Al día,687
CLI-100090,61,1116345,Secundaria,"Bogotá, Colombia",2021-11-27,1559531,5,12,Al día,440
CLI-100091,41,0,Universitario,ibague,2016-04-26,5279295,13,48,Al día,340
CLI-100092,24,2032770,Secundaria,"Villavicencio, Meta",2017-11-21,4392294,4,12,Moroso,520
CLI-100093,71,900000,Técnico,Pereira,2022-06-26,3921231,4,24,Al día,589
CLI-100094,54,5703583,Universitario,Ibagué,2017-09-30,1866966,29,36,Al día,549
CLI-100095,62,0,Tecnólogo,MEDELLÍN,2022-09-25,1662171,9,18,Al día,308
CLI-100096,1,1181406,Primaria,medellín,2018-07-20,3958764,9,18,Al día,401
CLI-100097,57,1267860,Secundaria,bucaramanga,2023-05-04,660096,14,18,Al día,381
CLI-100098,26,1038215,Secundaria,cali,2018-02-19,8486435,7,24,Moroso,374
CLI-100099,42,5989330,Universitario,SANTA MARTA,2023-04-18,16184881,8,48,Al día,638
CLI-100100,65,8057941,Posgrado,medellín,2023-04-04,3679023,33,48,Al día,
CLI-100101,49,3459918,Tecnólogo,"Cali, Colombia",2020-12-31,13233264,13,48,Al día,596
CLI-100102,34,3173170,Técnico,VILLAVICENCIO,2021-01-15,3012508,30,48,Al día,781
CLI-100103,25,0,Secundaria,Villavo,2022-05-15,4096907,5,24,Al día,726
CLI-100104,22,2744699,Técnico,Cali,2021-04-15,11411193,41,36,Al día,523
CLI-100105,3,1053254,Secundaria,CÚCUTA,2024-07-10,1017652,19,24,Al día,366
CLI-100106,52,1570617,Secundaria,Bogotá D.C.,2018-07-16,1943161,1,6,Al día,621
CLI-100107,49,0,Primaria,BOG,2016-09-18,4555235,25,48,Al día,640
CLI-100108,54,1397998,Secundaria,Bogotá,2019-07-07,0,12,12,Cancelado,846
CLI-100109,77,2781622,Técnico,Cúcuta,2024-08-02,0,18,18,Cancelado,845
CLI-100110,26,1343166,Secundaria,Santiago de Cali,2024-10-01,2716849,39,48,Al día,541
CLI-100111,43,0,Primaria,PEREIRA,2022-08-13,2700991,32,48,Al día,722
CLI-100112,58,0,Técnico,Bucaramanga,2019-01-19,3288122,22,36,Al día,652
CLI-100113,3,2890647,Técnico,IBAGUÉ,2018-01-31,1979454,6,12,Al día,679
CLI-100114,39,7902424,Posgrado,"Villavicencio, Meta",2015-05-28,3869783,12,24,Al día,575
CLI-100115,46,2318511,Técnico,villavicencio,2024-10-21,7466785,1,36,Moroso,331
CLI-100116,52,0,Secundaria,"Manizales, Caldas",2018-12-31,4063630,12,36,Al día,542
CLI-100117,20,2700552,Tecnólogo,IBAGUÉ,2022-10-14,4373858,2,18,Moroso,403
CLI-100118,61,5208769,Universitario,Manizales,2016-06-27,0,48,48,Cancelado,716
CLI-100119,63,0,Tecnólogo,BOGOTÁ,2016-04-28,3392540,20,36,Al día,
CLI-100120,36,12995216,Posgrado,"Barranquilla, Atlántico",2025-06-23,0,12,12,Cancelado,684
CLI-100121,52,3415729,Universitario,"Cartagena, Bolívar",2017-12-29,14311135,1,24,Moroso,
CLI-100122,42,4380732,Tecnólogo,cucuta,2018-10-29,0,12,12,Cancelado,657
CLI-100123,45,2968824,Universitario,CTG,2019-03-08,521638,1,6,Al día,581
CLI-100124,50,0,Técnico,"Barranquilla, Atlántico",2017-08-03,8675838,13,36,Al día,424
CLI-100125,56,0,Universitario,BOG,2021-04-23,1880239,4,12,Al día,514
CLI-100126,77,0,Tecnólogo,PEI,2019-10-20,726559,8,12,Al día,435
CLI-100127,54,1614686,Secundaria,"Cali, Valle",2017-09-25,3881091,31,48,Al día,397
CLI-100128,36,4153190,Técnico,"Pereira, Risaralda",2020-05-16,2911217,29,36,Al día,380
CLI-100129,40,4269427,Tecnólogo,Bta,2017-02-03,6960748,18,36,Al día,789
CLI-100130,49,1115500,Técnico,MANIZALES,2021-11-11,4465255,1,12,Al día,506
CLI-100131,18,0,Tecnólogo,Ibague,2023-05-02,3356111,22,48,Al día,489
CLI-100132,53,0,Secundaria,"Manizales, Caldas",2022-03-25,21911398,7,48,Moroso,
CLI-100133,18,925726,Primaria,pereira,2021-01-22,5035462,4,18,Al día,449
CLI-100134,63,0,Universitario,Ibagué,2024-04-02,883375,4,6,Al día,
CLI-100135,45,6614814,Posgrado,Cúcuta,2016-12-25,0,12,12,Cancelado,624
CLI-100136,26,1682137,Secundaria,BARRANQUILLA,2022-02-22,6143274,8,48,Al día,669
CLI-100137,67,5755161,Universitario,Ibagué,2015-10-23,4305880,12,24,Al día,410
CLI-100138,79,3384422,Técnico,Pereira,2019-11-26,919497,18,24,Al día,545
CLI-100139,48,1417265,Técnico,San José de Cúcuta,2024-03-08,2344438,16,24,Al día,422
CLI-100140,39,0,Tecnólogo,Bogotá D.C.,2024-08-19,1582869,2,6,Al día,551
CLI-100141,68,0,Posgrado,BARRANQUILLA,2022-01-22,839458,15,18,Al día,840
CLI-100142,66,0,Universitario,"Medellín, Colombia",2015-04-19,2145080,27,24,Al día,499
CLI-100143,26,12644573,Posgrado,CTG,2023-10-28,0,12,12,Cancelado,801
CLI-100144,25,1277986,Primaria,Manizales,2017-11-20,13226229,6,48,Moroso,434
CLI-100145,18,6557988,Universitario,Cúcuta,2020-08-16,0,18,18,Cancelado,673
CLI-100146,44,0,Técnico,BGA,2017-04-04,5067506,19,36,Al día,509
CLI-100147,78,0,Secundaria,CALI,2022-06-24,170675,4,6,Al día,631
CLI-100148,66,2901520,Tecnólogo,Ibagué,2023-11-13,418176,4,6,Al día,
CLI-100149,61,0,Secundaria,Bta,2020-09-10,1420163,10,18,Al día,699
CLI-100150,49,2504492,Secundaria,bogota,2021-12-25,1267574,3,6,Al día,341
CLI-100151,46,2071881,Secundaria,Bta,2023-01-01,424606,7,12,Al día,511
CLI-100152,31,0,Universitario,CALI,2023-04-07,1883154,12,24,Al día,564
CLI-100153,68,1777331,Secundaria,Manizales,2019-01-23,3998589,41,36,Al día,556
CLI-100154,75,4144629,Universitario,MEDELLÍN,2016-05-08,6984552,14,36,Al día,710
CLI-100155,56,0,Secundaria,VILLAVICENCIO,2018-08-14,860122,7,12,Al día,349
CLI-100156,78,7759373,Posgrado,BAQ,2018-12-29,695454,4,6,Al día,440
CLI-100157,20,5842942,Universitario,Cúcuta,2016-05-16,3553585,34,48,Al día,541
CLI-100158,54,4032271,Universitario,Villavicencio,2021-02-15,2572796,19,48,Al día,495
CLI-100159,49,2169518,Tecnólogo,B/quilla,2018-02-10,2045146,11,24,Al día,529
CLI-100160,41,4021214,Técnico,cartagena,2024-10-08,1095657,12,18,Al día,835
CLI-100161,76,0,Universitario,"Ibagué, Tolima",2023-09-06,3674408,28,48,Al día,580
CLI-100162,70,1725507,Técnico,villavicencio,2015-01-30,5670944,15,36,Al día,353
CLI-100163,56,3401788,Tecnólogo,pereira,2023-04-10,0,18,18,Cancelado,548
CLI-100164,24,3222855,Secundaria,SMR,2016-09-26,6052784,13,48,Al día,509
CLI-100165,68,1704531,Secundaria,IBAGUÉ,2019-02-10,1312562,4,12,Al día,466
CLI-100166,43,5799547,Universitario,Bogotá,2018-12-26,1640639,32,36,Al día,402
CLI-100167,66,0,Secundaria,CAL,2024-05-31,13556120,16,48,Moroso,517
CLI-100168,49,6098510,Universitario,"Villavicencio, Meta",2017-03-09,0,12,12,Cancelado,813
CLI-100169,51,4175847,Técnico,"Pereira, Risaralda",2017-01-23,0,48,48,Cancelado,804
CLI-100170,78,0,Tecnólogo,Bogotá,2020-01-25,497400,4,6,Al día,679
CLI-100171,55,0,Secundaria,Barranqilla,2019-12-15,1289744,2,12,Al día,550
CLI-100172,22,7189180,Posgrado,Pereira,2023-03-29,923187,3,12,Al día,824
CLI-100173,21,3459763,Universitario,manizales,2017-10-22,6607871,27,48,Al día,338
CLI-100174,42,0,Secundaria,Bogotá D.C.,2016-02-04,1745832,2,6,Al día,666
CLI-100175,55,1433827,Secundaria,BOG,2024-05-31,0,12,12,Cancelado,736
CLI-100176,75,3145862,Técnico,Bta,2015-01-16,220656,4,6,Al día,569
CLI-100177,52,1936127,Secundaria,Bogotá,2017-06-23,3304154,2,18,Moroso,357
CLI-100178,68,0,Tecnólogo,"Bogotá, Colombia",2019-10-17,3267269,10,18,Al día,523
CLI-100179,62,0,Secundaria,"Santa Marta, Magdalena",2021-02-05,3968674,7,18,Al día,605
CLI-100180,71,4447580,Tecnólogo,Santiago de Cali,2021-01-27,11045055,42,36,Al día,321
CLI-100181,18,9374516,Posgrado,CTG,2016-09-25,0,24,24,Cancelado,848
CLI-100182,75,5403621,Universitario,Manizales,2016-12-13,0,48,48,Cancelado,638
CLI-100183,57,0,Secundaria,Ibagué,2019-08-03,6255521,1,12,Moroso,514
CLI-100184,72,0,Posgrado,"Villavicencio, Meta",2024-06-05,10971264,11,48,Al día,430
CLI-100185,2,2310124,Secundaria,Santa Marta,2017-04-05,3673491,23,36,Al día,468
CLI-100186,60,0,Universitario,"Cali, Valle",2019-07-15,4123552,6,36,Al día,486
CLI-100187,1,900000,Primaria,manizales,2015-10-10,373949,14,18,Al día,
CLI-100188,50,3998174,Tecnólogo,Villavo,2018-09-28,0,48,48,Cancelado,750
CLI-100189,57,1936494,Secundaria,Bucaramanga,2015-04-11,4774225,9,48,Al día,469
CLI-100190,43,1560234,Técnico,BAQ,2023-07-04,11956158,6,24,Moroso,
CLI-100191,29,2189372,Técnico,"Manizales, Caldas",2017-03-23,5712440,5,18,Al día,427
CLI-100192,65,1238036,Secundaria,Manizales,2015-10-16,7260094,15,36,Al día,
CLI-100193,29,0,Secundaria,Cartagena de Indias,2018-03-25,1203473,3,6,Al día,498
CLI-100194,42,0,Universitario,santa marta,2022-04-07,1858244,10,24,Al día,651
CLI-100195,44,0,Secundaria,Santiago de Cali,2015-10-30,3140864,8,18,Al día,774
CLI-100196,40,4392527,Universitario,Cucuta,2015-01-10,1975060,42,48,Al día,776
CLI-100197,35,2364917,Secundaria,Barranquilla,2020-09-01,834665,14,18,Al día,381
CLI-100198,19,3081073,Universitario,Pereira,2021-01-01,3764848,1,12,Al día,428
CLI-100199,34,0,Primaria,Barranquilla,2023-07-19,510270,19,24,Al día,569
CLI-100200,28,4425809,Universitario,cartagena,2018-08-16,2590747,3,12,Al día,495
CLI-100201,27,0,Posgrado,PEI,2021-05-27,1579918,14,18,Al día,831
CLI-100202,34,0,Tecnólogo,Barranqilla,2020-08-22,2165682,6,12,Al día,631
CLI-100203,79,1673279,Técnico,CÚCUTA,2015-01-10,3278794,14,24,Al día,648
CLI-100204,69,8328094,Posgrado,CARTAGENA,2015-10-31,4030833,6,24,Al día,557
CLI-100205,43,0,Técnico,Cúcuta,2019-09-15,982826,1,6,Al día,830
CLI-100206,24,4238930,Tecnólogo,pereira,2025-06-11,2224244,31,36,Al día,671
CLI-100207,51,0,Tecnólogo,"Bucaramanga, Santander",2019-11-06,1596952,40,48,Al día,441
CLI-100208,42,4383821,Universitario,"Barranquilla, Atlántico",2021-02-05,3583741,33,48,Al día,710
CLI-100209,47,2259544,Técnico,Villavo,2021-06-06,1215496,2,6,Al día,758
CLI-100210,43,1970796,Secundaria,Villavicencio,2025-01-30,8689418,5,18,Moroso,
CLI-100211,56,5045342,Universitario,pereira,2025-03-08,0,12,12,Cancelado,761
CLI-100212,52,2396772,Técnico,VILLAVICENCIO,2023-02-10,2934111,11,18,Al día,379
CLI-100213,75,0,Secundaria,"Manizales, Caldas",2016-02-24,5040958,30,48,Al día,673
CLI-100214,75,3582729,Tecnólogo,BOGOTÁ,2017-08-21,1926570,10,18,Al día,695
CLI-100215,48,2572704,Técnico,Villavicencio,2020-09-12,2303433,2,12,Al día,473
CLI-100216,2,2017791,Secundaria,ibague,2021-10-27,843316,20,24,Al día,472
CLI-100217,55,7409719,Universitario,cali,2016-02-29,0,48,48,Cancelado,703
CLI-100218,55,2121647,Técnico,IBAGUÉ,2025-04-16,4569754,5,18,Al día,560
CLI-100219,76,0,Universitario,SMR,2023-05-20,15890347,12,48,Al día,607
CLI-100220,48,0,Universitario,"Ibagué, Tolima",2021-01-18,2939234,6,18,Al día,597
CLI-100221,73,2863535,Técnico,ibague,2022-09-11,1248976,14,18,Al día,617
CLI-100222,48,6148699,Universitario,Manizales,2020-01-11,0,48,48,Cancelado,701
CLI-100223,64,996254,Secundaria,Villavicencio,2020-07-20,3549320,26,36,Al día,844
CLI-100224,73,3709639,Universitario,Villavo,2023-04-29,14696495,14,48,Al día,390
CLI-100225,45,1505321,Primaria,bogota,2021-07-10,0,18,18,Cancelado,835
CLI-100226,24,0,Técnico,Cucuta,2024-10-18,386286,5,6,Al día,509
CLI-100227,37,0,Universitario,SANTA MARTA,2022-09-10,2616671,3,12,Al día,578
CLI-100228,46,4521289,Universitario,Med.,2019-07-24,8121989,1,18,Moroso,353
CLI-100229,71,6369869,Posgrado,Santiago de Cali,2017-04-27,18140514,7,48,Al día,460
CLI-100230,2,0,Primaria,MANIZALES,2015-12-03,1048123,12,18,Al día,819
CLI-100231,28,3048635,Técnico,BGA,2019-01-09,9328940,6,24,Moroso,452
CLI-100232,57,2971471,Técnico,CTG,2021-10-21,0,12,12,Cancelado,746
CLI-100233,40,2546056,Tecnólogo,CARTAGENA,2020-10-21,5147060,4,18,Al día,586
CLI-100234,23,3778981,Universitario,"Manizales, Caldas",2017-03-22,0,6,6,Cancelado,741
CLI-100235,3,3286298,Tecnólogo,bucaramanga,2021-05-23,1965095,4,12,Moroso,570
CLI-100236,55,0,Secundaria,cartagena,2016-12-01,6131844,17,48,Al día,707
CLI-100237,57,0,Posgrado,santa marta,2021-12-21,4482680,12,24,Al día,598
CLI-100238,39,1204769,Secundaria,PEREIRA,2022-05-23,2916742,32,24,Al día,308
CLI-100239,53,1286103,Secundaria,Barranqilla,2018-12-28,1703248,7,12,Al día,332
CLI-100240,38,0,Técnico,Medellín,2015-09-20,2221404,26,18,Al día,696
CLI-100241,79,4399431,Tecnólogo,Bogotá,2015-02-18,0,36,36,Cancelado,597
CLI-100242,35,6303418,Posgrado,MZL,2019-10-24,522254,13,18,Al día,440
CLI-100243,70,1341075,Tecnólogo,PEI,2017-11-18,8163766,9,36,Al día,749
CLI-100244,18,2210141,Secundaria,SANTA MARTA,2018-07-13,2034707,12,24,Al día,324
CLI-100245,3,2103791,Técnico,villavicencio,2016-02-16,1928998,12,18,Al día,604
CLI-100246,2,0,Secundaria,Pereira,2025-01-20,1798653,10,18,Al día,321
CLI-100247,27,1456052,Primaria,"Cartagena, Bolívar",2022-08-10,4194920,4,18,Al día,375
CLI-100248,50,2499619,Técnico,"Medellín, Colombia",2017-06-19,3564306,1,12,Moroso,401
CLI-100249,64,900000,Secundaria,"Ibagué, Tolima",2022-01-26,1437485,8,12,Al día,615
CLI-100250,19,2480079,Técnico,"Manizales, Caldas",2019-08-16,1223566,8,12,Al día,
CLI-100251,68,0,Tecnólogo,Santa Marta,2017-10-29,4159447,22,36,Al día,329
CLI-100252,52,0,Tecnólogo,Cúcuta,2016-10-11,2278397,14,24,Al día,329
CLI-100253,34,0,Técnico,MDL,2023-10-29,8262671,8,48,Al día,476
CLI-100254,63,4200094,Tecnólogo,"Villavicencio, Meta",2025-05-30,11354089,5,36,Al día,611
CLI-100255,51,0,Universitario,Santa Marta,2016-09-18,1233815,8,18,Al día,629
CLI-100256,68,4663438,Universitario,ibague,2017-01-10,1667598,3,12,Al día,345
CLI-100257,3,1406327,Técnico,"Barranquilla, Atlántico",2022-04-09,1631113,5,12,Al día,597
CLI-100258,64,6143454,Universitario,CAL,2017-11-17,603339,4,6,Al día,557
CLI-100259,33,0,Secundaria,santa marta,2015-06-13,2361165,3,12,Al día,450
CLI-100260,64,0,Técnico,Cali,2019-07-05,925089,13,18,Al día,667
CLI-100261,1,1777612,Primaria,Villavicencio,2022-02-06,2718306,15,24,Al día,401
CLI-100262,35,900000,Secundaria,pereira,2018-02-15,1080528,9,12,Al día,664
CLI-100263,67,4146152,Universitario,Cali,2022-01-23,0,18,18,Cancelado,811
CLI-100264,28,0,Universitario,barranquilla,2018-07-31,4544071,25,36,Al día,
CLI-100265,73,2394287,Técnico,Cartagena,2015-04-11,2946331,21,48,Al día,832
CLI-100266,52,0,Secundaria,BAQ,2020-03-23,1838367,0,6,Moroso,
CLI-100267,2,1610915,Secundaria,Barranqilla,2018-11-05,27921391,0,48,Moroso,
CLI-100268,2,6197072,Tecnólogo,VILLAVICENCIO,2015-04-10,3042220,2,12,Al día,453
CLI-100269,73,6969740,Universitario,San José de Cúcuta,2021-04-05,4581909,25,36,Al día,482
CLI-100270,48,0,Secundaria,MANIZALES,2021-09-16,7289245,31,48,Al día,568
CLI-100271,56,7505205,Universitario,PEREIRA,2020-10-31,0,12,12,Cancelado,816
CLI-100272,74,0,Tecnólogo,Ibague,2017-10-02,6243289,0,12,Moroso,
CLI-100273,59,0,Secundaria,Santa Marta,2025-05-21,6735036,4,36,Moroso,315
CLI-100274,18,3922058,Universitario,Barranquilla,2023-08-20,716221,4,6,Al día,600
CLI-100275,51,1795889,Tecnólogo,Villavicencio,2019-08-15,1533840,0,6,Moroso,477
CLI-100276,66,0,Tecnólogo,Barranquilla,2019-05-08,1538792,2,6,Al día,750
CLI-100277,65,0,Secundaria,"Cali, Valle",2020-12-18,1308072,13,18,Al día,710
CLI-100278,64,2133934,Técnico,CALI,2021-02-18,566148,7,12,Al día,439
CLI-100279,75,1505624,Técnico,CTG,2016-05-10,759532,9,12,Al día,425
CLI-100280,55,6194482,Universitario,BUCARAMANGA,2016-02-24,0,6,6,Cancelado,630
CLI-100281,45,2578369,Secundaria,MDL,2017-08-19,412145,10,12,Al día,329
CLI-100282,33,0,Secundaria,MANIZALES,2021-03-21,2315770,3,12,Moroso,
CLI-100283,34,13350909,Posgrado,pereira,2021-12-08,0,12,12,Cancelado,685
CLI-100284,76,2343281,Universitario,IBAGUÉ,2017-12-17,641580,14,18,Al día,750
CLI-100285,18,2340500,Secundaria,BAQ,2015-02-06,2134824,13,18,Al día,688
CLI-100286,27,1146537,Secundaria,Barranquilla,2022-06-06,1073837,24,36,Al día,827
CLI-100287,39,2327373,Técnico,CÚCUTA,2017-01-05,187527,4,6,Al día,430
CLI-100288,76,3093878,Técnico,MDL,2025-04-26,0,6,6,Cancelado,603
CLI-100289,66,0,Secundaria,Villavicencio,2020-10-01,7558700,26,48,Al día,700
CLI-100290,63,3214280,Universitario,Cali,2018-12-07,7757181,1,18,Moroso,433
CLI-100291,22,10067543,Posgrado,BAQ,2025-01-22,0,6,6,Cancelado,846
CLI-100292,65,11893203,Posgrado,BUCARAMANGA,2020-01-07,479090,1,6,Al día,433
CLI-100293,68,2597756,Tecnólogo,Bucaramanga,2015-11-12,713457,13,18,Al día,756
CLI-100294,1,3616034,Tecnólogo,Cali,2015-08-31,3120238,14,24,Al día,330
CLI-100295,38,0,Secundaria,Pereira,2020-02-12,1222432,5,18,Al día,396
CLI-100296,63,2584234,Secundaria,Sta Marta,2016-11-27,0,24,24,Cancelado,772
CLI-100297,63,2877423,Técnico,"Manizales, Caldas",2022-11-28,3744760,37,48,Al día,640
CLI-100298,79,1363723,Primaria,MZL,2015-06-10,1852341,18,24,Al día,816
CLI-100299,71,4230459,Universitario,"Villavicencio, Meta",2016-08-24,1374727,16,24,Al día,741
